,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_Decision Tree
24823,0,4,0,3,4,1,2,3,1,4,1,3,0,1
24825,0,4,1,4,5,1,5,5,1,1,3,2,1,0
24841,0,4,0,4,4,1,2,1,4,4,1,3,0,1
24885,1,4,0,4,5,1,5,4,4,2,4,3,0,1
24907,0,4,0,4,3,1,2,3,4,4,3,1,1,0
24912,0,4,1,4,3,0,3,2,5,5,3,4,0,1
24915,0,3,0,3,1,0,4,4,3,3,3,2,0,1
24958,1,4,0,4,5,1,4,5,4,4,5,5,1,0
25046,0,2,1,2,5,1,1,3,3,3,1,1,1,0
25065,0,3,0,4,4,0,2,2,3,2,2,2,1,0
25066,0,4,0,4,4,0,4,4,4,4,4,5,0,1
25112,0,2,0,2,3,1,5,2,2,2,1,2,1,0
25122,1,4,0,4,1,1,4,5,1,3,3,1,0,1
25149,0,2,0,3,1,0,3,2,4,4,4,4,1,0
25196,0,5,0,2,3,0,5,5,2,3,5,4,0,1
25218,0,4,1,4,4,0,5,5,4,4,3,5,0,1
25235,0,3,0,3,4,0,4,3,3,3,4,5,0,1
25237,0,5,0,5,5,0,1,4,5,5,5,3,0,1
25241,1,4,0,4,4,1,3,3,4,3,3,4,1,0
25244,0,4,0,4,4,2,4,3,4,4,4,2,0,1
25253,0,4,0,4,4,1,4,4,4,4,3,1,1,0
25256,0,4,0,4,4,0,3,3,4,4,3,4,0,1
25261,1,4,0,4,2,1,4,3,3,3,4,1,1,0
25287,0,2,1,2,4,0,5,4,2,5,5,5,1,0
25308,0,4,0,4,4,0,4,4,4,3,4,4,0,1
25310,1,4,0,4,1,1,1,3,1,1,5,5,1,0
25328,1,4,0,3,5,1,5,4,2,2,3,4,1,0
25338,0,4,0,4,3,1,2,2,5,5,1,3,0,1
25353,0,4,0,4,4,1,4,3,4,4,4,1,1,0
25370,0,4,1,4,3,0,5,4,5,5,5,4,1,0
25427,0,4,1,4,2,1,2,3,5,2,4,4,0,1
25433,0,4,0,4,1,1,3,3,4,4,3,3,1,0
25486,0,4,1,4,4,1,5,4,5,5,4,5,0,1
25488,0,1,0,4,3,1,3,1,4,4,3,1,0,1
25551,0,4,0,4,2,1,3,4,4,4,1,5,1,0
25559,1,4,0,4,2,1,1,4,2,2,1,2,1,0
25564,0,4,1,4,4,0,5,2,5,5,2,4,0,1
25574,1,4,0,4,4,1,3,5,4,4,4,4,1,0
25576,0,3,1,2,2,1,1,5,2,2,2,4,0,1
25626,1,4,0,4,1,1,4,3,2,2,4,5,1,0
25643,0,4,1,4,4,0,4,5,1,3,3,5,1,0
25655,0,4,1,4,4,0,4,3,5,5,4,5,0,1
25667,0,4,1,4,4,0,4,4,1,1,5,3,0,1
25677,0,4,1,4,4,0,4,3,2,2,1,3,0,1
25707,1,4,0,4,5,1,5,5,1,1,5,5,1,0
25726,1,4,0,4,5,1,4,3,5,5,4,3,0,1
25731,0,4,1,4,3,1,5,4,2,2,5,5,1,0
25738,0,4,1,5,1,1,3,2,3,5,2,2,1,0
25740,1,4,0,3,3,1,4,4,3,1,4,3,1,0
25756,1,4,0,4,5,1,4,4,4,4,5,2,0,1
25758,0,4,0,4,4,1,1,4,4,4,5,4,1,0
25764,0,4,0,2,1,1,4,4,4,3,4,4,0,1
25780,0,4,1,4,5,0,2,4,4,4,3,3,1,0
25785,0,4,1,4,4,0,5,5,2,2,5,3,0,1
25827,0,4,1,4,4,0,5,4,4,2,5,5,0,1
25838,1,4,0,4,3,1,4,3,3,3,3,2,0,1
25846,1,4,0,4,3,2,5,4,1,1,4,2,0,1
25869,1,4,0,4,5,1,5,4,1,1,5,3,1,0
25873,0,2,0,4,3,0,3,3,3,3,4,5,1,0
25885,0,2,0,4,4,0,2,2,4,4,2,2,1,0
25930,0,4,0,4,4,1,3,3,4,4,1,5,1,0
25954,0,4,0,4,3,0,4,2,4,4,3,5,0,1
25960,0,4,1,4,5,1,4,5,1,1,4,4,0,1
